obs_name,gt,gt_code
19_1022,CAF,0
19_1028,CAF,0
19_1029,Plasma_IgG,10
19_1030,CAF,0
19_1032,Plasma_IgG,10
19_1033,CAF,0
19_1035,High_Endothelial_Venules,6
19_1036,Plasma_IgG,10
19_1042,M1_macrophages,7
19_1048,High_Endothelial_Venules,6
19_1050,Plasma_IgG,10
19_1051,Tumor,12
19_1054,CAF,0
19_1056,Tumor,12
19_1058,Fibroblasts,4
19_1059,Tumor,12
19_1060,CAF,0
19_1063,CAF,0
19_1065,Fibroblasts,4
19_1066,CAF,0
19_1070,M1_macrophages,7
19_1071,CAF,0
19_1073,Plasma_IgG,10
19_1075,CAF,0
19_1082,Tumor,12
19_1083,CAF,0
19_1084,Plasma_IgG,10
19_1089,M1_macrophages,7
19_1090,CAF,0
19_1091,CAF,0
19_1094,CAF,0
19_1095,Tumor,12
19_1096,Tumor,12
19_1100,M1_macrophages,7
19_1101,Plasma_IgG,10
19_1102,Tumor,12
19_1105,M1_macrophages,7
19_1107,CAF,0
19_1109,CAF,0
19_1110,M1_macrophages,7
19_1112,CAF,0
19_1113,CAF,0
19_1114,Fibroblasts,4
19_1115,Fibroblasts,4
19_1116,Fibroblasts,4
19_1118,CAF,0
19_1119,Fibroblasts,4
19_1127,CAF,0
19_1128,Tumor,12
19_1130,CAF,0
19_1131,Plasma_IgG,10
19_1132,Tumor,12
19_1136,Plasma_IgG,10
19_1137,Tumor,12
19_1139,Plasma_IgG,10
19_1140,Plasma_IgG,10
19_1146,CAF,0
19_1147,M1_macrophages,7
19_1149,Plasma_IgG,10
19_1150,Tumor,12
19_1151,CAF,0
19_1154,Plasma_IgG,10
19_1155,Plasma_IgG,10
19_1159,Plasma_IgG,10
19_1160,Tumor,12
19_1161,Plasma_IgG,10
19_1164,Plasma_IgG,10
19_1165,Fibroblasts,4
19_1166,CAF,0
19_1167,Fibroblasts,4
19_1171,Plasma_IgG,10
19_1172,Tumor,12
19_1175,CAF,0
19_1176,Plasma_IgG,10
19_1178,Plasma_IgG,10
19_1179,Tumor,12
19_1180,M1_macrophages,7
19_1181,Plasma_IgG,10
19_1182,Tumor,12
19_1184,Fibroblasts,4
19_1185,CAF,0
19_1186,Fibroblasts,4
19_1187,Tumor,12
19_1188,Tumor,12
19_1192,Plasma_IgA,9
19_1194,M1_macrophages,7
19_1196,Tumor,12
19_1199,Plasma_IgG,10
19_1201,Tumor,12
19_1202,Plasma_IgG,10
19_1204,CAF,0
19_1205,Plasma_IgG,10
19_1206,M1_macrophages,7
19_1209,Tumor,12
19_1210,Fibroblasts,4
19_1211,Tumor,12
19_1213,Plasma_IgG,10
19_1214,CAM,1
19_1215,Tumor,12
19_1218,CAF,0
19_1219,CAF,0
19_1220,Fibroblasts,4
19_1221,Tumor,12
19_1222,CAF,0
19_1224,M1_macrophages,7
19_1225,Tumor,12
19_1226,Tumor,12
19_1230,Tumor,12
19_1231,Tumor,12
19_1234,Fibroblasts,4
19_1236,Tumor,12
19_1237,Fibroblasts,4
19_1239,Tumor,12
19_1240,Plasma_IgG,10
19_1241,Plasma_IgG,10
19_1242,Plasma_IgG,10
19_1243,Tumor,12
19_1246,Fibroblasts,4
19_1247,Tumor,12
19_1248,Plasma_IgG,10
19_1249,Fibroblasts,4
19_1250,Tumor,12
19_1251,M1_macrophages,7
19_1257,Plasma_IgG,10
19_1261,Fibroblasts,4
19_1262,M1_macrophages,7
19_1268,CAF,0
19_1269,Plasma_IgG,10
19_1271,Tumor,12
19_1274,Tumor,12
19_1275,CAF,0
19_1277,Plasma_IgG,10
19_1279,Plasma_IgG,10
19_1280,CAF,0
19_1283,CAF,0
19_1284,Plasma_IgG,10
19_1285,Plasma_IgG,10
19_1286,M1_macrophages,7
19_1287,Plasma_IgG,10
19_1288,Tumor,12
19_1291,Plasma_IgG,10
19_1295,CAF,0
19_1297,Tumor,12
19_1299,CAF,0
19_1300,Plasma_IgG,10
19_1302,Tumor,12
19_1305,Plasma_IgG,10
19_1309,Plasma_IgG,10
19_1312,M1_macrophages,7
19_1313,Plasma_IgG,10
19_1314,Tumor,12
19_1315,Tumor,12
19_1317,CAF,0
19_1320,Fibroblasts,4
19_1321,Tumor,12
19_1322,CAF,0
19_1323,unknown,14
19_1324,CAF,0
19_1325,Plasma_IgG,10
19_1327,CAF,0
19_1328,Plasma_IgG,10
19_1329,Tumor,12
19_1332,Plasma_IgG,10
19_1333,CAF,0
19_1335,Tumor,12
19_1336,Plasma_IgG,10
19_1337,CAF,0
19_1338,Plasma_IgG,10
19_1341,Fibroblasts,4
19_1342,Plasma_IgG,10
19_1343,CAM,1
19_1347,Tumor,12
19_1348,Tumor,12
19_1352,Fibroblasts,4
19_1353,Plasma_IgG,10
19_1357,Plasma_IgG,10
19_1360,M1_macrophages,7
19_1361,CAF,0
19_1362,Plasma_IgG,10
19_1363,Plasma_IgG,10
19_1366,Plasma_IgG,10
19_1367,Tumor,12
19_1368,Plasma_IgG,10
19_1369,Plasma_IgG,10
19_1373,Tumor,12
19_1375,CAF,0
19_1377,Tumor,12
19_1381,Germinal_Center_Plasma_IgM_B_cell,5
19_1384,Fibroblasts,4
19_1385,Plasma_IgG,10
19_1386,Tumor,12
19_1387,Plasma_IgG,10
19_1390,Plasma_IgG,10
19_1392,Plasma_IgG,10
19_1393,Plasma_IgG,10
19_1394,Tumor,12
19_1395,Plasma_IgG,10
19_1397,CAF,0
19_1398,Tumor,12
19_1401,Plasma_IgG,10
19_1402,unknown,14
19_1403,Tumor,12
19_1404,Tumor,12
19_1406,M1_macrophages,7
19_1409,Fibroblasts,4
19_1411,M1_macrophages,7
19_1412,Plasma_IgG,10
19_1413,Tumor,12
19_1414,Tumor,12
19_1416,M1_macrophages,7
19_1417,CAF,0
19_1418,Plasma_IgG,10
19_1419,Fibroblasts,4
19_1421,Tumor,12
19_1422,CAF,0
19_1423,Plasma_IgG,10
19_1424,Tumor,12
19_1425,Plasma_IgG,10
19_1427,unknown,14
19_1428,Plasma_IgG,10
19_1429,Fibroblasts,4
19_1431,Fibroblasts,4
19_1432,CAF,0
19_1433,M1_macrophages,7
19_1435,Plasma_IgG,10
19_1436,Plasma_IgG,10
19_1437,Plasma_IgG,10
19_1440,Plasma_IgG,10
19_1441,Tumor,12
19_1442,Plasma_IgG,10
19_1445,M1_macrophages,7
19_1446,Plasma_IgG,10
19_1447,Tumor,12
19_1452,M1_macrophages,7
19_1453,Tumor,12
19_1454,Tumor,12
19_1458,CAF,0
19_1459,Tumor,12
19_1461,Plasma_IgG,10
19_1464,High_Endothelial_Venules,6
19_1465,Plasma_IgG,10
19_1468,Plasma_IgG,10
19_1469,Fibroblasts,4
19_1470,Tumor,12
19_1472,CAM,1
19_1474,Plasma_IgA,9
19_1478,CAF,0
19_1480,Tumor,12
19_1481,Tumor,12
19_1482,Plasma_IgG,10
19_1484,M1_macrophages,7
19_1490,Plasma_IgG,10
19_1491,Plasma_IgG,10
19_1495,Plasma_IgG,10
19_1498,M1_macrophages,7
19_1500,Plasma_IgG,10
19_1503,Plasma_IgG,10
19_1504,Tumor,12
19_1505,Plasma_IgG,10
19_1510,CAF,0
19_1511,Plasma_IgG,10
19_1513,Fibroblasts,4
19_1519,M1_macrophages,7
19_1520,Plasma_IgG,10
19_1521,Tumor,12
19_1522,Tumor,12
19_1523,M1_macrophages,7
19_1525,Tumor,12
19_1526,Fibroblasts,4
19_1527,Fibroblasts,4
19_1529,M1_macrophages,7
19_1530,Tumor,12
19_1533,Plasma_IgG,10
19_1534,Plasma_IgG,10
19_1535,Plasma_IgG,10
19_1536,Plasma_IgG,10
19_1537,Plasma_IgG,10
19_1539,Plasma_IgG,10
19_1541,Fibroblasts,4
19_1542,Plasma_IgG,10
19_1543,Plasma_IgG,10
19_1544,Tumor,12
19_1545,Tumor,12
19_1546,Plasma_IgG,10
19_1549,Plasma_IgG,10
19_1550,Plasma_IgG,10
19_1551,Tumor,12
19_1552,Plasma_IgG,10
19_1553,Tumor,12
19_1555,M1_macrophages,7
19_1556,M1_macrophages,7
19_1559,Tumor,12
19_1561,Plasma_IgG,10
19_1562,Plasma_IgG,10
19_1563,Fibroblasts,4
19_1565,M1_macrophages,7
19_1566,M1_macrophages,7
19_1568,Tumor,12
19_1569,Plasma_IgG,10
19_1571,Fibroblasts,4
19_1572,M1_macrophages,7
19_1573,Tumor,12
19_1574,Plasma_IgG,10
19_1575,CAF,0
19_1578,Plasma_IgG,10
19_1579,Tumor,12
19_1580,Tumor,12
19_1581,Plasma_IgG,10
19_1582,Plasma_IgG,10
19_1583,Tumor,12
19_1584,Tumor,12
19_1585,Plasma_IgG,10
19_1586,Plasma_IgG,10
19_1587,Fibroblasts,4
19_1591,Plasma_IgG,10
19_1595,Plasma_IgG,10
19_1597,Tumor,12
19_1598,Tumor,12
19_1599,CAF,0
19_1600,Fibroblasts,4
19_1601,Plasma_IgG,10
19_1605,Plasma_IgG,10
19_1607,Fibroblasts,4
19_1608,Plasma_IgG,10
19_1610,Plasma_IgG,10
19_1614,Tumor,12
19_1616,Plasma_IgG,10
19_1618,High_Endothelial_Venules,6
19_1619,Tumor,12
19_1623,Tumor,12
19_1624,Plasma_IgG,10
19_1625,Tumor,12
19_1628,Plasma_IgG,10
19_1629,Plasma_IgG,10
19_1630,Tumor,12
19_1631,Tumor,12
19_1632,Plasma_IgG,10
19_1634,Plasma_IgG,10
19_1636,M1_macrophages,7
19_1637,Plasma_IgA,9
19_1638,Plasma_IgG,10
19_1639,Plasma_IgG,10
19_1640,Plasma_IgG,10
19_1641,Tumor,12
19_1643,Plasma_IgG,10
19_1644,M1_macrophages,7
19_1645,Plasma_IgG,10
19_1646,Plasma_IgG,10
19_1649,Plasma_IgG,10
19_1650,Plasma_IgG,10
19_1652,Tumor,12
19_1653,Plasma_IgG,10
19_1658,High_Endothelial_Venules,6
19_1659,High_Endothelial_Venules,6
19_1660,Plasma_IgG,10
19_1661,M1_macrophages,7
19_1662,Plasma_IgG,10
19_1665,M1_macrophages,7
19_1666,Plasma_IgG,10
19_1667,M1_macrophages,7
19_1673,Tumor,12
19_1675,Plasma_IgG,10
19_1676,CAF,0
19_1678,Tumor,12
19_1679,M1_macrophages,7
19_1683,Plasma_IgG,10
19_1684,Tumor,12
19_1685,Plasma_IgG,10
19_1687,Tumor,12
19_1688,Tumor,12
19_1689,Plasma_IgG,10
19_1690,Plasma_IgG,10
19_1691,M1_macrophages,7
19_1692,Plasma_IgG,10
19_1696,M1_macrophages,7
19_1698,Plasma_IgG,10
19_1699,CAF,0
19_1700,Tumor,12
19_1701,Plasma_IgG,10
19_1702,Plasma_IgG,10
19_1703,CAF,0
19_1709,CAF,0
19_1711,CAF,0
19_1719,Tumor,12
19_1720,Tumor,12
19_1721,Plasma_IgG,10
19_1723,M1_macrophages,7
19_1724,CAF,0
19_1725,Plasma_IgG,10
19_1727,Tumor,12
19_1731,CAF,0
19_1737,Plasma_IgG,10
19_1741,Plasma_IgG,10
19_1742,Plasma_IgG,10
19_1745,Tumor,12
19_1746,Tumor,12
19_1749,M1_macrophages,7
19_1751,Tumor,12
19_1752,Tumor,12
19_1756,Fibroblasts,4
19_1757,CAF,0
19_1758,Plasma_IgG,10
19_1760,Tumor,12
19_1765,Tumor,12
19_1767,Plasma_IgG,10
19_1768,Tumor,12
19_1770,M1_macrophages,7
19_1771,Plasma_IgG,10
19_1772,Tumor,12
19_1773,Plasma_IgG,10
19_1775,Tumor,12
19_1776,Plasma_IgG,10
19_1777,High_Endothelial_Venules,6
19_1778,Tumor,12
19_1779,Plasma_IgG,10
19_1782,Tumor,12
19_1790,Tumor,12
19_1791,Plasma_IgG,10
19_1792,Tumor,12
19_1793,CAF,0
19_1796,Plasma_IgG,10
19_1797,Plasma_IgG,10
19_1798,High_Endothelial_Venules,6
19_1804,Tumor,12
19_1806,Plasma_IgG,10
19_1810,CAF,0
19_1813,Plasma_IgG,10
19_1814,Fibroblasts,4
19_1818,Tumor,12
19_1819,CAF,0
19_1820,CAF,0
19_1831,Tumor,12
19_1832,Tumor,12
19_1833,CAF,0
19_1834,Plasma_IgG,10
19_1838,M1_macrophages,7
19_1839,Plasma_IgG,10
19_1841,Fibroblasts,4
19_1842,Plasma_IgG,10
19_1849,Tumor,12
19_1854,Plasma_IgG,10
19_1858,Plasma_IgG,10
19_1864,Tumor,12
19_1865,Plasma_IgG,10
19_1866,unknown,14
19_1868,Plasma_IgG,10
19_1869,CAF,0
19_1870,Tumor,12
19_1871,Plasma_IgG,10
19_1872,Fibroblasts,4
19_1876,Plasma_IgG,10
19_1877,Plasma_IgG,10
19_1878,CAF,0
19_1881,Plasma_IgG,10
19_1883,CAF,0
19_1886,Fibroblasts,4
19_1888,CAF,0
19_1889,CAF,0
19_1891,Plasma_IgG,10
19_1892,Tumor,12
19_1893,Plasma_IgG,10
19_1897,unknown,14
19_1900,Fibroblasts,4
19_1901,Plasma_IgG,10
19_1902,CAF,0
19_1903,Tumor,12
19_1905,CAM,1
19_1906,Tumor,12
19_1907,Fibroblasts,4
19_1912,Fibroblasts,4
19_1914,Tumor,12
19_1915,Tumor,12
19_1916,Tumor,12
19_1917,M1_macrophages,7
19_1918,CAF,0
19_1921,High_Endothelial_Venules,6
19_1922,CAF,0
19_1924,Tumor,12
19_1925,CAF,0
19_1926,Plasma_IgG,10
19_1931,Tumor,12
19_1934,High_Endothelial_Venules,6
19_1937,CAF,0
19_1938,Tumor,12
19_1944,Plasma_IgG,10
19_1946,Tumor,12
19_1948,CAF,0
19_1952,unknown,14
19_1953,Plasma_IgG,10
19_1954,Plasma_IgG,10
19_1955,Tumor,12
19_1958,Plasma_IgG,10
19_1959,High_Endothelial_Venules,6
19_1961,Tumor,12
19_1962,CAF,0
19_1965,Tumor,12
19_1969,Fibroblasts,4
19_1970,Plasma_IgG,10
19_1972,Plasma_IgG,10
19_1973,M1_macrophages,7
19_1975,CAF,0
19_1981,Tumor,12
19_1982,Tumor,12
19_1983,CAF,0
19_1988,Plasma_IgG,10
19_1990,Tumor,12
19_1993,Tumor,12
19_1998,Tumor,12
19_1999,Tumor,12
19_2000,Plasma_IgG,10
19_2004,Plasma_IgG,10
19_2005,Tumor,12
19_2009,Plasma_IgG,10
19_2010,Plasma_IgG,10
19_2011,Plasma_IgG,10
19_2015,Plasma_IgG,10
19_2017,Plasma_IgG,10
19_2018,Plasma_IgG,10
19_2019,Plasma_IgG,10
19_2020,Tumor,12
19_2022,CAF,0
19_2023,Tumor,12
19_2024,Plasma_IgG,10
19_2027,Plasma_IgG,10
19_2028,Plasma_IgG,10
19_2031,M1_macrophages,7
19_2032,Tumor,12
19_2033,Plasma_IgG,10
19_2034,Plasma_IgG,10
19_2036,Tumor,12
19_2039,Tumor,12
19_2040,Germinal_Center_Plasma_IgM_B_cell,5
19_2045,Plasma_IgG,10
19_2046,Tumor,12
19_2047,Tumor,12
19_2048,Plasma_IgG,10
19_2049,Plasma_IgG,10
19_2050,M1_macrophages,7
19_2055,Plasma_IgG,10
19_2056,CAF,0
19_2062,CAF,0
19_2063,Tumor,12
19_2064,Plasma_IgG,10
19_2065,Plasma_IgG,10
19_2066,Tumor,12
19_2067,Tumor,12
19_2072,CAF,0
19_2073,Tumor,12
19_2078,Plasma_IgG,10
19_2079,Plasma_IgG,10
19_2080,Plasma_IgG,10
19_2084,Tumor,12
19_2085,Tumor,12
19_2086,Plasma_IgG,10
19_2088,CAF,0
19_2091,Plasma_IgG,10
19_2093,unknown,14
19_2094,Tumor,12
19_2095,Plasma_IgG,10
19_2097,Tumor,12
19_2100,Plasma_IgG,10
19_2101,CAF,0
19_2102,Tumor,12
19_2103,Tumor,12
19_2108,Plasma_IgG,10
19_2109,Plasma_IgG,10
19_2110,CAF,0
19_2117,CAF,0
19_2121,M1_macrophages,7
19_2122,CAF,0
19_2123,Plasma_IgG,10
19_2124,Fibroblasts,4
19_2126,CAF,0
19_2127,Plasma_IgG,10
19_2129,Plasma_IgG,10
19_2130,CAF,0
19_2133,Plasma_IgG,10
19_2134,Plasma_IgG,10
19_2135,Tumor,12
19_2136,Tumor,12
19_2138,Plasma_IgG,10
19_2139,Fibroblasts,4
19_2140,Tumor,12
19_2143,CAF,0
19_2144,Tumor,12
19_2147,Tumor,12
19_2148,Plasma_IgG,10
19_2151,Plasma_IgG,10
19_2156,Plasma_IgG,10
19_2157,CAF,0
19_2159,Plasma_IgG,10
19_2160,Plasma_IgG,10
19_2162,Tumor,12
19_2165,Plasma_IgG,10
19_2167,Plasma_IgG,10
19_2168,Plasma_IgG,10
19_2173,CAF,0
19_2174,Plasma_IgG,10
19_2175,Plasma_IgG,10
19_2176,Tumor,12
19_2180,Plasma_IgG,10
19_2187,CAF,0
19_2188,Tumor,12
19_2189,CAF,0
19_2191,Plasma_IgG,10
19_2192,Tumor,12
19_2194,M1_macrophages,7
19_2196,Tumor,12
19_2197,Tumor,12
19_2204,Plasma_IgG,10
19_2207,Plasma_IgG,10
19_2208,Tumor,12
19_2209,Tumor,12
19_2210,Tumor,12
19_2213,Plasma_IgG,10
19_2214,Tumor,12
19_2215,Plasma_IgG,10
19_2219,Fibroblasts,4
19_2220,Plasma_IgG,10
19_2221,Tumor,12
19_2223,M1_macrophages,7
19_2224,Tumor,12
19_2226,Tumor,12
19_2227,CAF,0
19_2230,Plasma_IgG,10
19_2232,unknown,14
19_2234,Plasma_IgG,10
19_2235,Plasma_IgG,10
19_2237,Tumor,12
19_2238,Tumor,12
19_2239,Tumor,12
19_2242,CAF,0
19_2243,CAF,0
19_2245,Plasma_IgG,10
19_2250,Plasma_IgG,10
19_2251,Plasma_IgG,10
19_2252,Plasma_IgG,10
19_2255,M1_macrophages,7
19_2256,Plasma_IgG,10
19_2257,CAF,0
19_2259,Tumor,12
19_2263,CAF,0
19_2264,CAF,0
19_2265,Plasma_IgG,10
19_2266,Plasma_IgG,10
19_2267,Tumor,12
19_2268,Tumor,12
19_2276,Plasma_IgG,10
19_2277,Plasma_IgG,10
19_2278,CAF,0
19_2282,Fibroblasts,4
19_2283,T_cell,11
19_2284,Tumor,12
19_2285,Tumor,12
19_2286,Plasma_IgG,10
19_2287,CAF,0
19_2288,Plasma_IgG,10
19_2293,Plasma_IgG,10
19_2297,Plasma_IgG,10
19_2298,Plasma_IgG,10
19_2303,Fibroblasts,4
19_2304,High_Endothelial_Venules,6
19_2305,Tumor,12
19_2309,CAF,0
19_2310,Tumor,12
19_2312,CAF,0
19_2315,CAF,0
19_2316,Plasma_IgG,10
19_2317,Plasma_IgG,10
19_2319,Plasma_IgG,10
19_2320,Plasma_IgG,10
19_2321,Plasma_IgG,10
19_2322,Plasma_IgG,10
19_2326,CAF,0
19_2332,Tumor,12
19_2333,Tumor,12
19_2334,Tumor,12
19_2335,Tumor,12
19_2339,Plasma_IgG,10
19_2340,Tumor,12
19_2341,Tumor,12
19_2350,M1_macrophages,7
19_2351,M1_macrophages,7
19_2353,Tumor,12
19_2357,Plasma_IgG,10
19_2358,Tumor,12
19_2359,Tumor,12
19_2360,CAF,0
19_2362,High_Endothelial_Venules,6
19_2363,Tumor,12
19_2364,Tumor,12
19_2366,unknown,14
19_2367,Plasma_IgG,10
19_2368,Tumor,12
19_2373,CAF,0
19_2377,Tumor,12
19_2378,Tumor,12
19_2381,Plasma_IgG,10
19_2386,Plasma_IgG,10
19_2387,Plasma_IgG,10
19_2388,Plasma_IgG,10
19_2392,CAF,0
19_2393,Tumor,12
19_2394,Tumor,12
19_2395,Plasma_IgG,10
19_2397,Plasma_IgG,10
19_2398,Plasma_IgG,10
19_2405,Plasma_IgG,10
19_2407,Tumor,12
19_2408,Tumor,12
19_2413,Plasma_IgG,10
19_2414,Tumor,12
19_2415,Tumor,12
19_2416,Tumor,12
19_2418,Plasma_IgG,10
19_2419,Plasma_IgG,10
19_2420,CAF,0
19_2421,Plasma_IgG,10
19_2423,Plasma_IgG,10
19_2428,Plasma_IgG,10
19_2429,Tumor,12
19_2430,Tumor,12
19_2435,CAF,0
19_2436,Plasma_IgG,10
19_2437,Plasma_IgG,10
19_2444,M1_macrophages,7
19_2445,Plasma_IgG,10
19_2446,Plasma_IgG,10
19_2449,Plasma_IgG,10
19_2450,Plasma_IgG,10
19_2451,Plasma_IgG,10
19_2452,Tumor,12
19_2453,Plasma_IgG,10
19_2454,Tumor,12
19_2460,Plasma_IgG,10
19_2463,M1_macrophages,7
19_2464,Plasma_IgG,10
19_2465,CAF,0
19_2466,M1_macrophages,7
19_2467,Plasma_IgG,10
19_2468,Plasma_IgG,10
19_2469,Tumor,12
19_2471,Tumor,12
19_2472,Plasma_IgG,10
19_2475,unknown,14
19_2477,CAF,0
19_2478,Plasma_IgG,10
19_2479,Tumor,12
19_2484,M1_macrophages,7
19_2485,Plasma_IgG,10
19_2486,Plasma_IgG,10
19_2487,Tumor,12
19_2488,Tumor,12
19_2489,Tumor,12
19_2490,Plasma_IgG,10
19_2491,Plasma_IgG,10
19_2493,Tumor,12
19_2495,Plasma_IgG,10
19_2499,Tumor,12
19_2500,Tumor,12
19_2504,Tumor,12
19_2506,CAF,0
19_2509,Fibroblasts,4
19_2510,CAF,0
19_2511,Tumor,12
19_2512,Tumor,12
19_2515,CAF,0
19_2516,unknown,14
19_2518,CAF,0
19_2520,Plasma_IgG,10
19_2522,Plasma_IgG,10
19_2523,Tumor,12
19_2525,Plasma_IgG,10
19_2528,Tumor,12
19_2529,Plasma_IgG,10
19_2532,Fibroblasts,4
19_2533,Plasma_IgA,9
19_2534,CAF,0
19_2535,CAF,0
19_2536,Tumor,12
19_2538,unknown,14
19_2539,Plasma_IgG,10
19_2540,Plasma_IgG,10
19_2542,Plasma_IgG,10
19_2543,M1_macrophages,7
19_2548,Plasma_IgG,10
19_2552,Tumor,12
19_2553,Tumor,12
19_2556,Plasma_IgG,10
19_2557,Tumor,12
19_2558,Plasma_IgG,10
19_2560,CAF,0
19_2563,Plasma_IgG,10
19_2565,Plasma_IgG,10
19_2570,Tumor,12
19_2571,Tumor,12
